"year","title"
2021,"Satisfaction with remote teaching during the first semester of the COVID-19 crisis: Psychometric properties of a scale for health students."
2021,"Modified PRIEST score for identification of very low-risk COVID patients."
2021,"MSF experiences of providing multidisciplinary primary level NCD care for Syrian refugees and the host population in Jordan: an implementation study guided by the RE-AIM framework."
2021,"Microplastic pollution of worldwide lakes."
2021,"Quantum computing's reproducibility crisis: Majorana fermions."
2021,"Leaders and Laggards in Life Expectancy Among European Scholars From the Sixteenth to the Early Twentieth Century."
2021,"Code Review as a Simple Trick to Enhance Reproducibility, Accelerate Learning, and Improve the Quality of Your Team's Research."
2021,"A novel approach to combatting proboscidean ivory trafficking using a multiplex High-Resolution Melt (M-HRM) assay."
2021,"Development and performance evaluation of the first in-house multiplex rRT-PCR assay in Bangladesh for highly sensitive detection of SARS-CoV-2."
2021,"Reliable Surface Analysis Data of Nanomaterials in Support of Risk Assessment Based on Minimum Information Requirements."
2021,"The Teaching Digital Competence of Health Sciences Teachers. A Study at Andalusian Universities (Spain)."
2021,"Sulforaphane exhibits in vitro and in vivo antiviral activity against pandemic SARS-CoV-2 and seasonal HCoV-OC43 coronaviruses."
2021,"Antiviral drug screen identifies DNA-damage response inhibitor as potent blocker of SARS-CoV-2 replication."
2021,"Immediate and short-term efficacy of suicide-targeted interventions in suicidal individuals: A systematic review."
2021,"A reaction norm perspective on reproducibility."
2021,"Self-correction in science: The diagnostic and integrative motives for replication."
2021,"Subjective modeling choices and the robustness of impact evaluations in conservation science."
2021,"National Preclinical Sepsis Platform: developing a framework for accelerating innovation in Canadian sepsis research."
2021,"Is There a Replication Crisis in Medical Education Research?"
2021,"Structure of SARS-CoV-2 Spike Glycoprotein for Therapeutic and Preventive Target."
2021,"Potentiality of Moringa oleifera against SARS-CoV-2: identified by a rational computer aided drug design method."
2021,"[Flap design and preliminary clinical experience of the lower trapezius musculocutaneous flap carrying a portion of the latissimus dorsi muscle]."
2021,"When your goals inspire my goals: the role of effort, personal value, and inference in goal contagion."
2021,"Fully digital pathology laboratory routine and remote reporting of oral and maxillofacial diagnosis during the COVID-19 pandemic: a validation study."
2021,"Contributions of human ACE2 and TMPRSS2 in determining host-pathogen interaction of COVID-19."
2021,"Time to re-engage psychiatric drug discovery by strengthening confidence in preclinical psychopharmacology."
2021,"1'-Ribose cyano substitution allows Remdesivir to effectively inhibit nucleotide addition and proofreading during SARS-CoV-2 viral RNA replication."
2021,"Developing explanatory models for life course shifts in the burden of substance use to inform future policy and practice."
2021,"Infodemic and Fake News in Spain during the COVID-19 Pandemic."
2021,"Virus-associated ribozymes and nano carriers against COVID-19."
2021,"Design, synthesis, and structure activity relationship analysis of new betulinic acid derivatives as potent HIV inhibitors."
2021,"The Inclusive Review on SARS-CoV-2 Biology, Epidemiology, Diagnosis, and Potential Management Options."
2021,"Morpheme Position Coding in Reading Development as Explored With a Letter Search Task."
2021,"Why Psychology Needs to Stop Striving for Novelty and How to Move Towards Theory-Driven Research."
2021,"A novel assay for serum creatinine using a creatine kinase cycling reaction."
2021,"New Insights Into Potential Benefits of Bioactive Compounds of Bee Products on COVID-19: A Review and Assessment of Recent Research."
2021,"Innate immune evasion mediated by picornaviral 3C protease: Possible lessons for coronaviral 3C-like protease?"
2021,"Quantitative and Qualitative Approaches to Generalization and Replication-A Representationalist View."
2021,"On Unreplicable Inferences in Psychopathology Symptom Networks and the Importance of Unreliable Parameter Estimates."
2021,"Evidence-based interventions implemented in low-and middle-income countries for sickle cell disease management: A systematic review of randomized controlled trials."
2021,"Advanced microscopy technologies enable rapid response to SARS-CoV-2 pandemic."
2021,"Nonstructural protein 7 and 8 complexes of SARS-CoV-2."
2021,"Specific and Rapid SARS-CoV-2 Identification Based on LC-MS/MS Analysis."
2021,"Impact of COVID-19 on Pakistani dentists: a nationwide cross sectional study."
2021,"Insufficient transparency of statistical reporting in preclinical research: a scoping review."
2021,"A validation of the Postpartum Specific Anxiety Scale 12-item research short-form for use during global crises with five translations."
2021,"Risk factors for hypertensive crisis in adult patients: a systematic review."
2021,"Protein Kinase R Restricts the Intracellular Survival of Mycobacterium tuberculosis by Promoting Selective Autophagy."
2021,"The Protocol Gap."
2021,"Spanish Scientists' Opinion about Science and Researcher Behavior."
2021,"The Connection Between Cell Fate and Telomere."
2021,"The SARS-Coronavirus Infection Cycle: A Survey of Viral Membrane Proteins, Their Functional Interactions and Pathogenesis."
2021,"A computational approach for the screening of potential antiviral compounds against SARS-CoV-2 protease: Ionic liquid vs herbal and natural compounds."
2021,"An overview of applied robust methods."
2021,"Co-production, multiplied: Enactments of sex as a biological variable in US biomedicine."
2021,"Technical bias and the reproducibility crisis: The problem of systemic errors resulting from artefacts of equipment, methods or dataset has been underappreciated."
2021,"A narrative review on the basic and clinical aspects of the novel SARS-CoV-2, the etiologic agent of COVID-19."
2021,"Cortical Thickness in Migraine: A Coordinate-Based Meta-Analysis."
2021,"Making science computable: Developing code systems for statistics, study design, and risk of bias."
2021,"Effect of DNA repair inhibitor AsiDNA on the incidence of telomere fusion in crisis."
2021,"Detection-based prioritisation: Framework of multi-laboratory characteristics for asymptomatic COVID-19 carriers based on integrated Entropy-TOPSIS methods."
2021,"Potential health benefits of zinc supplementation for the management of COVID-19 pandemic."
2021,"The inhibitory effects of PGG and EGCG against the SARS-CoV-2 3C-like protease."
2021,"Current Approaches to Risk Assessment and Prevention of Preterm Birth-A Continuing Public Health Crisis."
2021,"Identifying organisational capability of hospitals amid the new healthcare reform in China: a Delphi study."
2021,"[Comparison of Hospital Preparedness to Deal with Crisis Situations in Mass Casualty Incidents According to the UN Human Development Index]."
2021,"Therapeutic targets and potential agents for the treatment of COVID-19."
2021,"Identifying the natural polyphenol catechin as a multi-targeted agent against SARS-CoV-2 for the plausible therapy of COVID-19: an integrated computational approach."
2021,"No effect of multi-axis dot pattern symmetry on subjective duration."
2021,"A novel virtual screening procedure identifies Pralatrexate as inhibitor of SARS-CoV-2 RdRp and it reduces viral replication in vitro."
2021,"The Evolution of Behavior Analysis: Toward a Replication Crisis?"
2020,"[Analysis of the degree of clinical suspect in patients with congenital adrenal hyperplasia by 21-hydroxylase deficiency before obtaining the result of the newborn screening program of the autonomous Community of Madrid.]"
2020,"Has the COVID-19 Crisis Affected the Growth of United States Food and Drug Administration Drug Approvals? The Answer is Not Yet! A Time Series (Forecasting) Study."
2020,"A High-Throughput Method for Screening for Genes Controlling Bacterial Conjugation of Antibiotic Resistance."
2020,"The generalizability crisis."
2020,"Microfluidic Technology for Antibacterial Resistance Study and Antibiotic Susceptibility Testing: Review and Perspective."
2020,"Rigor and reproducibility training for first year medical students in research pathways."
2020,"Statements About the Pervasiveness of Behavior Require Data About the Pervasiveness of Behavior."
2020,"Why Hypothesis Testers Should Spend Less Time Testing Hypotheses."
2020,"Sustained Positivity and Reinfection With SARS-CoV-2 in Children: Does Quarantine/Isolation Period Need Reconsideration in a Pediatric Population?"
2020,"Screened antipsychotic drugs inhibit SARS-CoV-2 binding with ACE2 in vitro."
2020,"Measuring Cumulative Stressfulness: Psychometric Properties of the COVID-19 Stressors Scale."
2020,"The Epistemological (Not Reproducibility) Crisis."
2020,"Ten years of enhancing neuro-imaging genetics through meta-analysis: An overview from the ENIGMA Genetics Working Group."
2020,"A cross-talk between epithelium and endothelium mediates human alveolar-capillary injury during SARS-CoV-2 infection."
2020,"Depicting the inhibitory potential of polyphenols from Isatis indigotica root against the main protease of SARS CoV-2 using computational approaches."
2020,"The replication crisis."
2020,"The main protease and RNA-dependent RNA polymerase are two prime targets for SARS-CoV-2."
2020,"Molecular Characterization of SARS-CoV-2."
2020,"Non-Coding RNAs and SARS-Related Coronaviruses."
2020,"Analysis goals, error-cost sensitivity, and analysis hacking: Essential considerations in hypothesis testing and multiple comparisons."
2020,"File-based localization of numerical perturbations in data analysis pipelines."
2020,"Breaking the circularity in circular analyses: Simulations and formal treatment of the flattened average approach."
2020,"Targeting SARS-CoV-2 main protease: structure based virtual screening, in silico ADMET studies and molecular dynamics simulation for identification of potential inhibitors."
2020,"Nasal Brushing Sampling and Processing using Digital High Speed Ciliary Videomicroscopy - Adaptation for the COVID-19 Pandemic."
2020,"The europe second wave of COVID-19 infection and the Italy ""strange"" situation."
2020,"Essential functional molecules associated with SARS-CoV-2 infection: Potential therapeutic targets for COVID-19."
2020,"Test sensitivity is secondary to frequency and turnaround time for COVID-19 screening."
2020,"Designing therapeutic strategies to combat severe acute respiratory syndrome coronavirus-2 disease: COVID-19."
2020,"Diabetes and COVID-19: a major challenge in pandemic period?"
2020,"Gender Disaggregation in COVID-19 and Increased Male Susceptibility."
2020,"Garlic (Allium sativum L.): a potential unique therapeutic food rich in organosulfur and flavonoid compounds to fight with COVID-19."
2020,"A decentralized framework for cultivating research lifecycle transparency."
2020,"Questionable Agreement: The Experience of Depression and DSM-5 Major Depressive Disorder Criteria."
2020,"Reproducibility Starts from You Today."
2020,"dtoolAI: Reproducibility for Deep Learning."
2020,"Actions do not speak louder than words in an interactive false belief task."
2020,"Wielding a gun increases judgments of others as holding guns: a randomized controlled trial."
2020,"The Rigor and Transparency Index Quality Metric for Assessing Biological and Medical Science Methods."
2020,"Network Changes in Insula and Amygdala Connectivity Accompany Implicit Suicidal Associations."
2020,"Lessons worth repeating: Sidman's Tactics of Scientific Research."
2020,"Quality of English inpatient mental health services for people with anxiety or depressive disorders: Findings and recommendations from the core audit of the National Clinical Audit of Anxiety and Depression."
2020,"Validating the Factor Structure of the Stigma of Suicide Scale - Short Form Spanish Version Among Healthcare Students."
2020,"In situ electrochemistry inside a TEM with controlled mass transport."
2020,"Plasma Proteomics Identify Biomarkers and Pathogenesis of COVID-19."
2020,"The effects of aging on host resistance and disease tolerance to SARS-CoV-2 infection."
2020,"SARS-CoV-2 isolation from the first reported patients in Brazil and establishment of a coordinated task network."
2020,"A Comprehensive Review on DNA Gyrase Inhibitors."
2020,"Fake news and fake research: Why meta-research matters more than ever."
2020,"Structural basis of Mfd-dependent transcription termination."
2020,"How do distal and proximal risk factors combine to predict suicidal ideation and behaviors? A prospective study of the narrative crisis model of suicide."
2020,"Why Most Research Findings About Psi Are False: The Replicability Crisis, the Psi Paradox and the Myth of Sisyphus."
2020,"DockCoV2: a drug database against SARS-CoV-2."
2020,"Improving reproducibility in animal research by splitting the study population into several 'mini-experiments'."
2020,"A Review on Pharmacokinetics properties of antiretroviral drugs to treat HIV-1 infections."
2020,"Forgotten Technology in the COVID-19 Pandemic: Filtration Properties of Cloth and Cloth Masks-A Narrative Review."
2020,"Chalcones, stilbenes and ketones have anti-infective properties via inhibition of bacterial drug-efflux and consequential synergism with antimicrobial agents."
2020,"Andrographolide and its fluorescent derivative inhibit the main proteases of 2019-nCoV and SARS-CoV through covalent linkage."
2020,"Evaluation Challenges in the Validation of B7-H3 as Oral Tongue Cancer Prognosticator."
2020,"Free fatty acid binding pocket in the locked structure of SARS-CoV-2 spike protein."
2020,"SARS-CoV-2 infection of Chinese hamsters (Cricetulus griseus) reproduces COVID-19 pneumonia in a well-established small animal model."
2020,"Sexual trauma uniquely associated with eating disorders: A replication study."
2020,"Timebanking and the co-production of preventive social care with adults; what can we learn from the challenges of implementing person-to-person timebanks in England?"
2020,"The ""replication crisis"" in the public eye: Germans' awareness and perceptions of the (ir)reproducibility of scientific research."
2020,"Immunopathology of Hyperinflammation in COVID-19."
2020,"Crystal structure of SARS-CoV-2 papain-like protease."
2020,"Are replication rates the same across academic fields? Community forecasts from the DARPA SCORE programme."
2020,"Detection of SARS-CoV-2 in raw and treated wastewater in Germany - Suitability for COVID-19 surveillance and potential transmission risks."
2020,"Theory of mind development: State of the science and future directions."
2020,"Measurement and antecedents of national resilience in Filipino adults during coronavirus crisis."
2020,"Human angiotensin-converting enzyme 2 transgenic mice infected with SARS-CoV-2 develop severe and fatal respiratory disease."
2020,"New Anti SARS-Cov-2 Targets for Quinoline Derivatives Chloroquine and Hydroxychloroquine."
2020,"Potential Role of Peptide-Based Antiviral Therapy Against SARS-CoV-2 Infection."
2020,"Validation of the German capability for suicide questionnaire (GCSQ) in a high-risk sample of suicidal inpatients."
2020,"Laterality 2020: entering the next decade."
2020,"Microbial Fuel Cell-Based Biological Oxygen Demand Sensors for Monitoring Wastewater: State-of-the-Art and Practical Applications."
2020,"Genomic variance of Open Reading Frames (ORFs) and Spike protein in severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)."
2020,"interferENZY: A Web-Based Tool for Enzymatic Assay Validation and Standardized Kinetic Analysis."
2020,"A decade of radiomics research: are images really data or just patterns in the noise?"
2020,"In silico investigation of phytoconstituents from Indian medicinal herb 'Tinospora cordifolia (giloy)' against SARS-CoV-2 (COVID-19) by molecular dynamics approach."
2020,"Psychedelic Research and the Need for Transparency: Polishing Alice's Looking Glass."
2020,"The Antibody Society's antibody validation webinar series."
2020,"Coronavirus Disease-2019 (COVID-19): An Updated Review."
2020,"Prior infection with intestinal coronaviruses moderates symptom severity and mortality in patients with COVID-19: A hypothesis and preliminary evidence."
2020,"Equivalence of remote, digital administration and traditional, in-person administration of the Wechsler Intelligence Scale for Children, Fifth Edition (WISC-V)."
2020,"Levelling the Translational Gap for Animal to Human Efficacy Data."
2020,"Comprehensive in-vivo secondary structure of the SARS-CoV-2 genome reveals novel regulatory motifs and mechanisms."
2020,"Adherence to Established Treatment Guidelines Among Unguided Digital Interventions for Depression: Quality Evaluation of 28 Web-Based Programs and Mobile Apps."
2020,"Suicide Prevention Gatekeeper Self-Efficacy Scale (GKSES)."
2020,"Searching Online for Methods of Suicide."
2020,"Mounting a Regional Response to the COVID-19 Pandemic: Another Reason to ""Keep"" Your Lab."
2020,"SARS-CoV-2, ACE2, and Hydroxychloroquine: Cardiovascular Complications, Therapeutics, and Clinical Readouts in the Current Settings."
2020,"Scientific Hypothesis-Testing Strengthens Neuroscience Research."
2020,"6-Thioguanine blocks SARS-CoV-2 replication by inhibition of PLpro protease activities."
2020,"A national effectiveness trial of an eHealth program to prevent alcohol and cannabis misuse: responding to the replication crisis."
2020,"Robustness of the EUROPEP questionnaire as regards data quality, reliability, and construct validity: The Greek experience before and after the economic crisis."
2020,"Role of vitamin D in preventing of COVID-19 infection, progression and severity."
2020,"Specific viral RNA drives the SARS CoV-2 nucleocapsid to phase separate."
2020,"A novel in vivo measure of cyberaggression."
2020,"Crossroads of telomere biology and anticancer drug discovery."
2020,"Re-analysis of SARS-CoV-2-infected host cell proteomics time-course data by impact pathway analysis and network analysis: a potential link with inflammatory response."
2020,"Rapid Validation of Telepathology by an Academic Neuropathology Practice During the COVID-19 Pandemic."
2020,"Tumor Lysis Syndrome Caused by Unrecognized Richter's Transformation of Chronic Lymphocytic Leukemia: Treatment With Venetoclax for Suspected Disease Progression."
2020,"The effect of journal guidelines on the reporting of antibody validation."
2020,"Lithium as a candidate treatment for COVID-19: Promises and pitfalls."
2020,"Is the reproducibility crisis fuelling poor mental health in science?"
2020,"Molecular Detection of SARS-CoV-2 in Formalin Fixed Paraffin Embedded Specimens."
2020,"Potent Antiviral Activities of Type I Interferons to SARS-CoV-2 Infection."
2020,"Algorithmic bias in social research: A meta-analysis."
2020,"Translational Intracerebral Hemorrhage Research: Has Current Neuroprotection Research ARRIVEd at a Standard for Experimental Design and Reporting?"
2020,"Oral Methioninase for Covid-19 Methionine-restriction Therapy."
2020,"Bayesian alternatives to null hypothesis significance testing in biomedical research: a non-technical introduction to Bayesian inference with JASP."
2020,"Thirty years of translational research in Mobility Medicine: Collection of abstracts of the 2020 Padua Muscle Days."
2020,"The mechanistic overview of SARS-CoV-2 using angiotensin-converting enzyme 2 to enter the cell for replication: possible treatment options related to the renin-angiotensin system."
2020,"Image-Based Cell Profiling Enables Quantitative Tissue Microscopy in Gastroenterology."
2020,"Assessing consistency of effects when applying multilevel models to single-case data."
2020,"Beyond Western, Educated, Industrial, Rich, and Democratic (WEIRD) Psychology: Measuring and Mapping Scales of Cultural and Psychological Distance."
2020,"Targeting evolution to inhibit antibiotic resistance."
2020,"'Sub-Prime' Water, Low-Security Entitlements and Policy Challenges in Over-Allocated River Basins: the Case of the Murray-Darling Basin."
2020,"Triage of patients with venous and lymphatic diseases during the COVID-19 pandemic - The Venous and Lymphatic Triage and Acuity Scale (VELTAS):: A consensus document of the International Union of Phlebology (UIP), Australasian College of Phlebology (ACP), American Vein and Lymphatic Society (AVLS), American Venous Forum (AVF), European College of Phlebology (ECoP), European Venous Forum (EVF), Interventional Radiology Society of Australasia (IRSA), Latin American Venous Forum, Pan-American Society of Phlebology and Lymphology and the Venous Association of India (VAI)."
2020,"New Insights of Human Parvovirus B19 in Modulating Erythroid Progenitor Cell Differentiation."
2020,"Testing a load theory framework for food-related cognition."
2020,"Established and Novel Mechanisms Leading to de novo Genomic Rearrangements in the Human Germline."
2020,"Digesting the crisis: autophagy and coronaviruses."
2020,"Avoidance Learning Across the Menstrual Cycle: A Conceptual Replication."
2020,"Automated Home-Cage Testing as a Tool to Improve Reproducibility of Behavioral Research?"
